Lista;Circoscrizione;Collegio Plurinominale;Numero Candidato;Candidato
PARTITO DEMOCRATICO;PUGLIA;PUGLIA - 02;3;PAPPADA' RAFFAELE 
PARTITO DEMOCRATICO;PUGLIA;PUGLIA - 02;4;PUZZOVIO LAVINIA 
PARTITO DEMOCRATICO;PUGLIA;PUGLIA - 03;1;PAGANO UBALDO 
PARTITO DEMOCRATICO;PUGLIA;PUGLIA - 03;2;MARIANO ELISA 
PARTITO DEMOCRATICO;PUGLIA;PUGLIA - 03;3;STELLATO MASSIMILIANO 
PARTITO DEMOCRATICO;PUGLIA;PUGLIA - 03;4;RUGGIERO RUBINA 
PARTITO DEMOCRATICO;PUGLIA;PUGLIA - 04;1;BORDO MICHELE 
PARTITO DEMOCRATICO;PUGLIA;PUGLIA - 04;2;CALVIO MARIA ROSARIA DETTA IAIA
PARTITO DEMOCRATICO;PUGLIA;PUGLIA - 04;3;FERRANTE FABRIZIO 
PARTITO DEMOCRATICO;PUGLIA;PUGLIA - 04;4;TARSITANO NADA 
PARTITO DEMOCRATICO;SARDEGNA;SARDEGNA - 01;1;MURA ROMINA 
PARTITO DEMOCRATICO;SARDEGNA;SARDEGNA - 01;2;SANNA FRANCESCO 
PARTITO DEMOCRATICO;SARDEGNA;SARDEGNA - 01;3;PINNA PAOLA 
PARTITO DEMOCRATICO;SARDEGNA;SARDEGNA - 01;4;ZEDDA LINO 
PARTITO DEMOCRATICO;SARDEGNA;SARDEGNA - 02;1;MANCA GAVINO 
PARTITO DEMOCRATICO;SARDEGNA;SARDEGNA - 02;2;SANNA GIOVANNA 
PARTITO DEMOCRATICO;SARDEGNA;SARDEGNA - 02;3;CICCOLINI GIUSEPPE 
PARTITO DEMOCRATICO;SARDEGNA;SARDEGNA - 02;4;RUSSEL SILVIA 
PARTITO DEMOCRATICO;SICILIA 1;SICILIA 1 - 01;1;GIAMBRONE FABIO 
PARTITO DEMOCRATICO;SICILIA 1;SICILIA 1 - 01;2;SPICOLA CARMELA DETTA MILA
PARTITO DEMOCRATICO;SICILIA 1;SICILIA 1 - 01;3;DI PISA CARLO 
PARTITO DEMOCRATICO;SICILIA 1;SICILIA 1 - 01;4;GRASSO VALERIA 
PARTITO DEMOCRATICO;SICILIA 1;SICILIA 1 - 02;1;BOSCHI MARIA ELENA 
PARTITO DEMOCRATICO;SICILIA 1;SICILIA 1 - 02;2;MICELI CARMELO 
PARTITO DEMOCRATICO;SICILIA 1;SICILIA 1 - 02;3;ANGILERI ANNA MARIA 
PARTITO DEMOCRATICO;SICILIA 1;SICILIA 1 - 02;4;LINARES MARCELLO 
PARTITO DEMOCRATICO;SICILIA 1;SICILIA 1 - 03;1;CARDINALE DANIELA 
PARTITO DEMOCRATICO;SICILIA 1;SICILIA 1 - 03;2;CAMPAGNA MARCO 
PARTITO DEMOCRATICO;SICILIA 1;SICILIA 1 - 03;3;DIADEMA TERESA 
PARTITO DEMOCRATICO;SICILIA 1;SICILIA 1 - 03;4;ROMITO TANINO VINCENZO 
PARTITO DEMOCRATICO;SICILIA 2;SICILIA 2 - 01;1;BOSCHI MARIA ELENA 
PARTITO DEMOCRATICO;SICILIA 2;SICILIA 2 - 01;2;NAVARRA PIETRO 
PARTITO DEMOCRATICO;SICILIA 2;SICILIA 2 - 01;3;DI GIORGI ROSA MARIA 
PARTITO DEMOCRATICO;SICILIA 2;SICILIA 2 - 01;4;LACCOTO GIUSEPPE 
PARTITO DEMOCRATICO;SICILIA 2;SICILIA 2 - 02;1;GENTILONI SILVERI PAOLO 
PARTITO DEMOCRATICO;SICILIA 2;SICILIA 2 - 02;2;RACITI FRANCESCA 
PARTITO DEMOCRATICO;SICILIA 2;SICILIA 2 - 02;3;BERRETTA GIUSEPPE 
PARTITO DEMOCRATICO;SICILIA 2;SICILIA 2 - 02;4;RICOTTA FRANCESCA 
PARTITO DEMOCRATICO;SICILIA 2;SICILIA 2 - 03;1;BOSCHI MARIA ELENA 
PARTITO DEMOCRATICO;SICILIA 2;SICILIA 2 - 03;2;RACITI FAUSTO 
PARTITO DEMOCRATICO;SICILIA 2;SICILIA 2 - 03;3;AMODDIO SOFIA 
PARTITO DEMOCRATICO;SICILIA 2;SICILIA 2 - 03;4;D'ASTA MARIO 
PARTITO DEMOCRATICO;TOSCANA;TOSCANA - 01;1;MADIA MARIA ANNA 
PARTITO DEMOCRATICO;TOSCANA;TOSCANA - 01;2;GIACOMELLI ANTONELLO 
PARTITO DEMOCRATICO;TOSCANA;TOSCANA - 01;3;NARDI MARTINA 
PARTITO DEMOCRATICO;TOSCANA;TOSCANA - 01;4;BURATTI UMBERTO 
PARTITO DEMOCRATICO;TOSCANA;TOSCANA - 02;1;DI GIORGI ROSA MARIA 
PARTITO DEMOCRATICO;TOSCANA;TOSCANA - 02;2;CECCANTI STEFANO 
PARTITO DEMOCRATICO;TOSCANA;TOSCANA - 02;3;CIAMPI LUCIA 
PARTITO DEMOCRATICO;TOSCANA;TOSCANA - 02;4;BACCI LORENZO 
PARTITO DEMOCRATICO;TOSCANA;TOSCANA - 03;1;CANTINI LAURA 
PARTITO DEMOCRATICO;TOSCANA;TOSCANA - 03;2;ERMINI DAVID 
PARTITO DEMOCRATICO;TOSCANA;TOSCANA - 03;3;DI GIORGI ROSA MARIA 
PARTITO DEMOCRATICO;TOSCANA;TOSCANA - 03;4;SENSI FILIPPO 
PARTITO DEMOCRATICO;TOSCANA;TOSCANA - 04;1;FERRI COSIMO MARIA 
PARTITO DEMOCRATICO;TOSCANA;TOSCANA - 04;2;ROTTA ALESSIA 
PARTITO DEMOCRATICO;TOSCANA;TOSCANA - 04;3;SANI LUCA 
PARTITO DEMOCRATICO;TOSCANA;TOSCANA - 04;4;GORETTI ANTONELLA 
PARTITO DEMOCRATICO;TRENTINO-ALTO ADIGE/SÜDTIROL;TRENTINO-ALTO ADIGE/SÜDTIROL - 01;1;FILIPPI ELISA 
PARTITO DEMOCRATICO;TRENTINO-ALTO ADIGE/SÜDTIROL;TRENTINO-ALTO ADIGE/SÜDTIROL - 01;2;DE PASCALIS MAURO 
PARTITO DEMOCRATICO;TRENTINO-ALTO ADIGE/SÜDTIROL;TRENTINO-ALTO ADIGE/SÜDTIROL - 01;3;NGUCAJ ANETA 
PARTITO DEMOCRATICO;TRENTINO-ALTO ADIGE/SÜDTIROL;TRENTINO-ALTO ADIGE/SÜDTIROL - 01;4;SERRA PAOLO 
PARTITO DEMOCRATICO;UMBRIA;UMBRIA - 01;1;ASCANI ANNA 
PARTITO DEMOCRATICO;UMBRIA;UMBRIA - 01;2;VERINI WALTER 
PARTITO DEMOCRATICO;UMBRIA;UMBRIA - 01;3;MORI EMANUELA 
PARTITO DEMOCRATICO;UMBRIA;UMBRIA - 01;4;TERZINO MAURIZIO 
